resource_key	entity_id	color	category
Antelope	Antelope	Brown	Mammals
Archaeopteryx	Archaeopteryx	Yellow	Birds
Armadillo	Armadillo	Brown	Mammals
Bat	Bat	Brown	Mammals
Bat_Ice	Bat_Ice	Red	BeastsCreatures
Bear_Grizzly	Bear_Grizzly	Brown	Mammals
Bear_Polar	Bear_Polar	Brown	Mammals
Bison	Bison	Brown	Mammals
Bison_Calf	Bison_Calf	Brown	Mammals
Bluebird	Bluebird	Yellow	Birds
Bluegill	Bluegill	LightBlue	Aquatic
Boar	Boar	Brown	Mammals
Boar_Piglet	Boar_Piglet	Brown	Mammals
Bunny	Bunny	Brown	Mammals
Cactee	Cactee	Fuchsia	HumanoidsConstructs
Calf	Cow_Calf	Brown	Mammals
Camel	Camel	Brown	Mammals
Camel_Calf	Camel_Calf	Brown	Mammals
Catfish	Catfish	LightBlue	Aquatic
Chick	Chicken_Chick	Yellow	Birds
Chick_Desert	Chicken_Desert_Chick	Yellow	Birds
Chicken	Chicken	Yellow	Birds
Chicken_Desert	Chicken_Desert	Yellow	Birds
Chicken_Undead	Chicken_Undead	Purple	UndeadSpirits
Clownfish	Clownfish	LightBlue	Aquatic
Cow	Cow	Brown	Mammals
Cow_Undead	Cow_Undead	Purple	UndeadSpirits
Crab	Crab	LightBlue	Aquatic
Crawler_Void	Crawler_Void	Purple	UndeadSpirits
Crocodile	Crocodile	Green	ReptilesAmphibians
Crow	Crow	Yellow	Birds
Deer_Doe	Deer_Doe	Brown	Mammals
Deer_Stag	Deer_Stag	Brown	Mammals
Dragon_Fire	Dragon_Fire	Red	Tools
Dragon_Frost	Dragon_Frost	Red	Tools
Duck	Duck	Yellow	Birds
Eel_Moray	Eel_Moray	LightBlue	Aquatic
Emberwulf	Emberwulf	Red	BeastsCreatures
Eye_Void	Eye_Void	Purple	UndeadSpirits
Fen_Stalker	Fen_Stalker	Purple	UndeadSpirits
Feran_Burrower	Feran_Burrower	Fuchsia	HumanoidsConstructs
Feran_Civilian	Feran_Civilian	Fuchsia	HumanoidsConstructs
Feran_Cub	Feran_Cub	Fuchsia	HumanoidsConstructs
Feran_Longtooth	Feran_Longtooth	Fuchsia	HumanoidsConstructs
Feran_Sharptooth	Feran_Sharptooth	Fuchsia	HumanoidsConstructs
Feran_Windwalker	Feran_Windwalker	Fuchsia	HumanoidsConstructs
Finch_Green	Finch_Green	Yellow	Birds
Flamingo	Flamingo	Yellow	Birds
Fox	Fox	Brown	Mammals
Frog_Blue	Frog_Blue	LightGreen	ReptilesAmphibians
Frog_Green	Frog_Green	LightGreen	ReptilesAmphibians
Frog_Orange	Frog_Orange	LightGreen	ReptilesAmphibians
Frostgill	Frostgill	Red	BeastsCreatures
Gecko	Gecko	Green	ReptilesAmphibians
Ghoul	Ghoul	Purple	UndeadSpirits
Goat	Goat	Brown	Mammals
Goat_Kid	Goat_Kid	Brown	Mammals
Goblin_Duke	Goblin_Duke	Fuchsia	HumanoidsConstructs
Goblin_Hermit	Goblin_Hermit	Fuchsia	HumanoidsConstructs
Goblin_Lobber	Goblin_Lobber	Fuchsia	HumanoidsConstructs
Goblin_Miner	Goblin_Miner	Fuchsia	HumanoidsConstructs
Goblin_Ogre	Goblin_Ogre	Fuchsia	HumanoidsConstructs
