key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Antelope.name	Antelope	Antilope	Antilope	Antílope	Antilope	Antílope	Антилопа	Antilop
items.MSE.Egg_Spawner_Archaeopteryx.name	Archaeopteryx	Archaeopteryx	Archaeopteryx	Archaeopteryx	Archaeopteryx	Archaeopteryx	Археоптерикс	Arkeopteriks
items.MSE.Egg_Spawner_Armadillo.name	Armadillo	Armadillo	Gürteltier	Armadillo	Tatou	Tatu	Броненосец	Armadillo
items.MSE.Egg_Spawner_Bat.name	Bat	Pipistrello	Fledermaus	Murciélago	Chauve-souris	Morcego	Летучая мышь	Yarasa
items.MSE.Egg_Spawner_Bat_Ice.name	Bat Ice	Pipistrello del ghiaccio	Eisfledermaus	Murciélago de hielo	Chauve-souris de glace	Morcego de gelo	Ледяная летучая мышь	Buz yarasası
items.MSE.Egg_Spawner_Bear_Grizzly.name	Bear Grizzly	Orso grizzly	Grizzlybär	Oso grizzly	Ours grizzly	Urso-pardo	Медведь гризли	Boz ayı
items.MSE.Egg_Spawner_Bear_Polar.name	Bear Polar	Orso polare	Eisbär	Oso polar	Ours polaire	Urso polar	Белый медведь	Kutup ayısı
items.MSE.Egg_Spawner_Bison.name	Bison	Bisonte	Bison	Bisonte	Bison	Bisão	Бизон	Bizon
items.MSE.Egg_Spawner_Bison_Calf.name	Bison Calf	Cucciolo di bisonte	Bisonkalb	Cría de bisonte	Veau de bison	Filhote de bisão	Детеныш бизона	Bizon yavrusu
items.MSE.Egg_Spawner_Bluebird.name	Bluebird	Uccello azzurro	Blauvogel	Pájaro azul	Oiseau bleu	Pássaro azul	Синяя птица	Mavi kuş
items.MSE.Egg_Spawner_Bluegill.name	Bluegill	Persico sole	Sonnenbarsch	Mojarra azul	Crapet arlequin	Peixe-sol	Солнечный окунь	Güneş balığı
items.MSE.Egg_Spawner_Boar.name	Boar	Cinghiale	Wildschwein	Jabalí	Sanglier	Javali	Кабан	Yaban domuzu
items.MSE.Egg_Spawner_Boar_Piglet.name	Boar Piglet	Cucciolo di cinghiale	Wildschweinferkel	Jabato	Marcassin	Filhote de javali	Поросенок кабана	Yaban domuzu yavrusu
items.MSE.Egg_Spawner_Bunny.name	Bunny	Coniglietto	Häschen	Conejito	Lapereau	Coelhinho	Крольчонок	Tavşancık
items.MSE.Egg_Spawner_Cactee.name	Cactee	Cactee	Cactee	Cactee	Cactee	Cactee	Какти	Cactee
items.MSE.Egg_Spawner_Calf.name	Calf	Vitello	Kalb	Ternero	Veau	Bezerro	Теленок	Buzağı
items.MSE.Egg_Spawner_Camel.name	Camel	Cammello	Kamel	Camello	Chameau	Camelo	Верблюд	Deve
items.MSE.Egg_Spawner_Camel_Calf.name	Camel Calf	Cucciolo di cammello	Kamelkalb	Cría de camello	Chamelleau	Filhote de camelo	Верблюжонок	Deve yavrusu
items.MSE.Egg_Spawner_Catfish.name	Catfish	Pesce gatto	Wels	Bagre	Poisson-chat	Bagre	Сом	Yayın balığı
items.MSE.Egg_Spawner_Chick.name	Chick	Pulcino	Küken	Pollito	Poussin	Pintinho	Цыпленок	Civciv
items.MSE.Egg_Spawner_Chick_Desert.name	Chick Desert	Pulcino del deserto	Wüstenküken	Pollito del desierto	Poussin du désert	Pintinho do deserto	Пустынный цыпленок	Çöl civcivi
items.MSE.Egg_Spawner_Chicken.name	Chicken	Gallina	Huhn	Gallina	Poule	Galinha	Курица	Tavuk
items.MSE.Egg_Spawner_Chicken_Desert.name	Chicken Desert	Gallina del deserto	Wüstenhuhn	Gallina del desierto	Poule du désert	Galinha do deserto	Пустынная курица	Çöl tavuğu
items.MSE.Egg_Spawner_Chicken_Undead.name	Chicken Undead	Gallina non morta	Untotes Huhn	Gallina no muerta	Poule morte-vivante	Galinha morta-viva	Курица-нежить	Ölümsüz tavuk
items.MSE.Egg_Spawner_Clownfish.name	Clownfish	Pesce pagliaccio	Clownfisch	Pez payaso	Poisson-clown	Peixe-palhaço	Рыба-клоун	Palyaço balığı
