key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Hatworm.name	Hatworm	Verme cappello	Hutwurm	Gusano sombrero	Ver-chapeau	Verme chapéu	Шляпный червь	Şapka kurdu
items.MSE.Egg_Spawner_Hawk.name	Hawk	Falco	Falke	Halcón	Faucon	Falcão	Ястреб	Şahin
items.MSE.Egg_Spawner_Hedera.name	Hedera	Edera	Efeu	Hiedra	Lierre	Hera	Плющ	Sarmaşık
items.MSE.Egg_Spawner_Horse.name	Horse	Cavallo	Pferd	Caballo	Cheval	Cavalo	Лошадь	At
items.MSE.Egg_Spawner_Horse_Foal.name	Horse Foal	Puledro	Fohlen	Potro	Poulain	Potro	Жеребенок	Tay
items.MSE.Egg_Spawner_Horse_Skeleton.name	Horse Skeleton	Cavallo scheletro	Skelettpferd	Caballo esqueleto	Cheval squelette	Cavalo esqueleto	Лошадь-скелет	İskelet at
items.MSE.Egg_Spawner_Horse_Skeleton_Armored.name	Horse Skeleton Armored	Cavallo scheletro corazzato	Gepanzertes Skelettpferd	Caballo esqueleto acorazado	Cheval squelette cuirassé	Cavalo esqueleto blindado	Бронированная лошадь-скелет	Zırhlı iskelet at
items.MSE.Egg_Spawner_Hound_Bleached.name	Hound Bleached	Segugio sbiancato	Gebleichter Hund	Sabueso blanqueado	Limier blanchi	Cão alvejado	Выбеленная гончая	Ağarmış tazı
items.MSE.Egg_Spawner_Hyena.name	Hyena	Iena	Hyäne	Hiena	Hyène	Hiena	Гиена	Sırtlan
items.MSE.Egg_Spawner_Jellyfish_Blue.name	Jellyfish Blue	Medusa blu	Blaue Qualle	Medusa azul	Méduse bleue	Água-viva azul	Синяя медуза	Mavi denizanası
items.MSE.Egg_Spawner_Jellyfish_Cyan.name	Jellyfish Cyan	Medusa ciano	Cyanfarbene Qualle	Medusa cian	Méduse cyan	Água-viva ciano	Бирюзовая медуза	Camgöbeği denizanası
items.MSE.Egg_Spawner_Jellyfish_Green.name	Jellyfish Green	Medusa verde	Grüne Qualle	Medusa verde	Méduse verte	Água-viva verde	Зеленая медуза	Yeşil denizanası
items.MSE.Egg_Spawner_Jellyfish_Man_Of_War.name	Jellyfish Man Of War	Caravella portoghese	Portugiesische Galeere	Fragata portuguesa	Galère portugaise	Caravela-portuguesa	Португальский кораблик	Portekiz savaşçısı denizanası
items.MSE.Egg_Spawner_Jellyfish_Red.name	Jellyfish Red	Medusa rossa	Rote Qualle	Medusa roja	Méduse rouge	Água-viva vermelha	Красная медуза	Kırmızı denizanası
items.MSE.Egg_Spawner_Jellyfish_Yellow.name	Jellyfish Yellow	Medusa gialla	Gelbe Qualle	Medusa amarilla	Méduse jaune	Água-viva amarela	Желтая медуза	Sarı denizanası
items.MSE.Egg_Spawner_Klops_Gentleman.name	Klops Gentleman	Gentiluomo Klops	Klops-Gentleman	Caballero Klops	Gentleman Klops	Cavalheiro Klops	Джентльмен Клопс	Klops Beyefendisi
items.MSE.Egg_Spawner_Klops_Merchant.name	Klops Merchant	Mercante Klops	Klops-Händler	Mercader Klops	Marchand Klops	Mercador Klops	Торговец Клопс	Klops Tüccarı
items.MSE.Egg_Spawner_Klops_Miner.name	Klops Miner	Minatore Klops	Klops-Bergmann	Minero Klops	Mineur Klops	Mineiro Klops	Шахтер Клопс	Klops Madencisi
items.MSE.Egg_Spawner_Kweebec_Elder.name	Kweebec Elder	Anziano Kweebec	Kweebec-Ältester	Anciano Kweebec	Ancien Kweebec	Ancião Kweebec	Старейшина Квибек	Kweebec yaşlısı
items.MSE.Egg_Spawner_Kweebec_Merchant.name	Kweebec Merchant	Mercante Kweebec	Kweebec-Händler	Mercader Kweebec	Marchand Kweebec	Mercador Kweebec	Торговец Квибек	Kweebec tüccarı
items.MSE.Egg_Spawner_Kweebec_Razorleaf.name	Kweebec Razorleaf	Kweebec foglialama	Kweebec-Klingenblatt	Kweebec hoja afilada	Kweebec feuille-lame	Kweebec folha-lâmina	Квибек-остролист	Kweebec keskin yaprak
