key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Salmon.name	Salmon	Salmone	Lachs	Salmón	Saumon	Salmão	Лосось	Somon
items.MSE.Egg_Spawner_Scarak_Broodmother.name	Scarak Broodmother	Madre della covata Scarak	Scarak-Brutmutter	Madre de cría Scarak	Mère couveuse Scarak	Mãe da ninhada Scarak	Матка Скарак	Scarak Kuluçka Anası
items.MSE.Egg_Spawner_Scarak_Defender.name	Scarak Defender	Difensore Scarak	Scarak-Verteidiger	Defensor Scarak	Défenseur Scarak	Defensor Scarak	Защитник Скарак	Scarak Savunucusu
items.MSE.Egg_Spawner_Scarak_Fighter.name	Scarak Fighter	Combattente Scarak	Scarak-Kämpfer	Luchador Scarak	Combattant Scarak	Lutador Scarak	Боец Скарак	Scarak Savaşçısı
items.MSE.Egg_Spawner_Scarak_Fighter_Royal_Guard.name	Scarak Fighter Royal Guard	Combattente Scarak guardia reale	Scarak-Kämpfer der Königsgarde	Luchador Scarak guardia real	Combattant Scarak garde royale	Lutador Scarak guarda real	Боец Скарак королевской гвардии	Kraliyet muhafızı Scarak savaşçısı
items.MSE.Egg_Spawner_Scarak_Louse.name	Scarak Louse	Pidocchio Scarak	Scarak-Laus	Piojo Scarak	Pou Scarak	Piolho Scarak	Вошь Скарак	Scarak Biti
items.MSE.Egg_Spawner_Scarak_Seeker.name	Scarak Seeker	Cercatore Scarak	Scarak-Sucher	Buscador Scarak	Chercheur Scarak	Buscador Scarak	Искатель Скарак	Scarak Arayıcısı
items.MSE.Egg_Spawner_Scorpion.name	Scorpion	Scorpione	Skorpion	Escorpión	Scorpion	Escorpião	Скорпион	Akrep
items.MSE.Egg_Spawner_Shadow_Knight.name	Shadow Knight	Cavaliere dell'ombra	Schattenritter	Caballero de sombra	Chevalier de l'ombre	Cavaleiro das sombras	Рыцарь тени	Gölge şövalyesi
items.MSE.Egg_Spawner_Shark_Hammerhead.name	Shark Hammerhead	Squalo martello	Hammerhai	Tiburón martillo	Requin-marteau	Tubarão-martelo	Акула-молот	Çekiç başlı köpekbalığı
items.MSE.Egg_Spawner_Sheep.name	Sheep	Pecora	Schaf	Oveja	Mouton	Ovelha	Овца	Koyun
items.MSE.Egg_Spawner_Shellfish_Lava.name	Shellfish Lava	Crostaceo lavico	Lava-Schalentier	Marisco de lava	Crustacé de lave	Marisco de lava	Лавовый моллюск	Lav kabuklusu
items.MSE.Egg_Spawner_Skeleton.name	Skeleton	Scheletro	Skelett	Esqueleto	Squelette	Esqueleto	Скелет	İskelet
items.MSE.Egg_Spawner_Skrill.name	Skrill	Skrill	Skrill	Skrill	Skrill	Skrill	Скрилл	Skrill
items.MSE.Egg_Spawner_Skrill_Chick.name	Skrill Chick	Pulcino di skrill	Skrill-Küken	Cría de skrill	Poussin de skrill	Filhote de skrill	Детеныш скрилла	Skrill yavrusu
items.MSE.Egg_Spawner_Slug_Magma.name	Slug Magma	Limaccia di magma	Magma-Schnecke	Babosa de magma	Limace de magma	Lesma de magma	Магмовая слизень	Magma sümüklüböceği
items.MSE.Egg_Spawner_Snail_Frost.name	Snail Frost	Chiocciola del gelo	Frostschnecke	Caracol de escarcha	Escargot de givre	Caracol de gelo	Морозная улитка	Buz salyangozu
items.MSE.Egg_Spawner_Snail_Magma.name	Snail Magma	Chiocciola di magma	Magma-Schnecke	Caracol de magma	Escargot de magma	Caracol de magma	Магмовая улитка	Magma salyangozu
items.MSE.Egg_Spawner_Snake_Cobra.name	Snake Cobra	Serpente cobra	Kobra	Serpiente cobra	Serpent cobra	Cobra	Кобра	Kobra yılanı
items.MSE.Egg_Spawner_Snake_Marsh.name	Snake Marsh	Serpente di palude	Sumpfschlange	Serpiente de pantano	Serpent des marais	Cobra do pântano	Болотная змея	Bataklık yılanı
items.MSE.Egg_Spawner_Snake_Rattle.name	Snake Rattle	Serpente a sonagli	Klapperschlange	Serpiente de cascabel	Crotale	Cascavel	Гремучая змея	Çıngıraklı yılan
items.MSE.Egg_Spawner_Snapdragon.name	Snapdragon	Bocca di leone	Snapdragon	Boca de dragón	Muflier	Boca-de-leão	Львиный зев	Aslanağzı
items.MSE.Egg_Spawner_Snapjaw.name	Snapjaw	Mascella a scatto	Schnappkiefer	Mandíbula chasqueante	Mâchoire claquante	Mandíbula de estalo	Щелкочелюст	Çenesi kapanan
items.MSE.Egg_Spawner_Spark_Living.name	Living Spark	Scintilla vivente	Lebender Funke	Chispa viviente	Étincelle vivante	Faísca viva	Живая искра	Yaşayan kıvılcım
items.MSE.Egg_Spawner_Sparrow.name	Sparrow	Passero	Spatz	Gorrión	Moineau	Pardal	Воробей	Serçe
items.MSE.Egg_Spawner_Spectre_Void.name	Spectre Void	Spettro del vuoto	Leeren-Schemen	Espectro del vacío	Spectre du vide	Espectro do vazio	Призрак Пустоты	Boşluk hayaleti
items.MSE.Egg_Spawner_Spider.name	Spider	Ragno	Spinne	Araña	Araignée	Aranha	Паук	Örümcek
items.MSE.Egg_Spawner_Spider_Cave.name	Spider Cave	Ragno delle caverne	Höhlenspinne	Araña de cueva	Araignée des cavernes	Aranha da caverna	Пещерный паук	Mağara örümceği
items.MSE.Egg_Spawner_Spirit_Ember.name	Spirit Ember	Spirito delle braci	Glutgeist	Espíritu de brasas	Esprit de braise	Espírito de brasas	Дух углей	Kor ruhu
items.MSE.Egg_Spawner_Spirit_Frost.name	Spirit Frost	Spirito del gelo	Frostgeist	Espíritu de escarcha	Esprit de givre	Espírito de gelo	Дух льда	Buz ruhu
items.MSE.Egg_Spawner_Spirit_Root.name	Spirit Root	Spirito delle radici	Wurzelgeist	Espíritu de raíz	Esprit des racines	Espírito das raízes	Дух корней	Kök ruhu
items.MSE.Egg_Spawner_Spirit_Thunder.name	Spirit Thunder	Spirito del tuono	Donnergeist	Espíritu del trueno	Esprit du tonnerre	Espírito do trovão	Дух грома	Gök gürültüsü ruhu
items.MSE.Egg_Spawner_Squirrel.name	Squirrel	Scoiattolo	Eichhörnchen	Ardilla	Écureuil	Esquilo	Белка	Sincap
