key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Skeleton_Archer.name	Skeleton Archer	Arciere scheletro	Skelett-Bogenschütze	Arquero esqueleto	Archer squelette	Arqueiro esqueleto	Скелет-лучник	İskelet okçu
items.MSE.Egg_Spawner_Skeleton_Archmage.name	Skeleton Archmage	Arcimago scheletro	Skelett-Erzmagier	Archimago esqueleto	Archimage squelette	Arquimago esqueleto	Скелет-архимаг	İskelet başbüyücü
items.MSE.Egg_Spawner_Skeleton_Burnt_Alchemist.name	Skeleton Burnt Alchemist	Alchimista scheletro bruciato	Verbrannter Skelett-Alchemist	Alquimista esqueleto quemado	Alchimiste squelette brûlé	Alquimista esqueleto queimado	Обгоревший скелет-алхимик	Yanmış iskelet simyacı
items.MSE.Egg_Spawner_Skeleton_Burnt_Archer.name	Skeleton Burnt Archer	Arciere scheletro bruciato	Verbrannter Skelett-Bogenschütze	Arquero esqueleto quemado	Archer squelette brûlé	Arqueiro esqueleto queimado	Обгоревший скелет-лучник	Yanmış iskelet okçu
items.MSE.Egg_Spawner_Skeleton_Burnt_Gunner.name	Skeleton Burnt Gunner	Cannoniere scheletro bruciato	Verbrannter Skelett-Schütze	Artillero esqueleto quemado	Tireur squelette brûlé	Atirador esqueleto queimado	Обгоревший скелет-стрелок	Yanmış iskelet nişancı
items.MSE.Egg_Spawner_Skeleton_Burnt_Knight.name	Skeleton Burnt Knight	Cavaliere scheletro bruciato	Verbrannter Skelett-Ritter	Caballero esqueleto quemado	Chevalier squelette brûlé	Cavaleiro esqueleto queimado	Обгоревший скелет-рыцарь	Yanmış iskelet şövalye
items.MSE.Egg_Spawner_Skeleton_Burnt_Lancer.name	Skeleton Burnt Lancer	Lanciere scheletro bruciato	Verbrannter Skelett-Lanzenreiter	Lancero esqueleto quemado	Lancier squelette brûlé	Lanceiro esqueleto queimado	Обгоревший скелет-копейщик	Yanmış iskelet mızrakçı
items.MSE.Egg_Spawner_Skeleton_Burnt_Praetorian.name	Skeleton Burnt Praetorian	Pretoriano scheletro bruciato	Verbrannter Skelett-Prätorianer	Pretoriano esqueleto quemado	Prétorien squelette brûlé	Pretoriano esqueleto queimado	Обгоревший скелет-преторианец	Yanmış iskelet praetorian
items.MSE.Egg_Spawner_Skeleton_Burnt_Soldier.name	Skeleton Burnt Soldier	Soldato scheletro bruciato	Verbrannter Skelett-Soldat	Soldado esqueleto quemado	Soldat squelette brûlé	Soldado esqueleto queimado	Обгоревший скелет-солдат	Yanmış iskelet asker
items.MSE.Egg_Spawner_Skeleton_Burnt_Wizard.name	Skeleton Burnt Wizard	Mago scheletro bruciato	Verbrannter Skelett-Zauberer	Mago esqueleto quemado	Sorcier squelette brûlé	Mago esqueleto queimado	Обгоревший скелет-маг	Yanmış iskelet sihirbaz
items.MSE.Egg_Spawner_Skeleton_Fighter.name	Skeleton Fighter	Combattente scheletro	Skelett-Kämpfer	Luchador esqueleto	Combattant squelette	Lutador esqueleto	Скелет-боец	İskelet savaşçı
items.MSE.Egg_Spawner_Skeleton_Frost_Archer.name	Skeleton Frost Archer	Arciere scheletro del gelo	Frost-Skelett-Bogenschütze	Arquero esqueleto de escarcha	Archer squelette de givre	Arqueiro esqueleto de gelo	Ледяной скелет-лучник	Buz iskelet okçu
items.MSE.Egg_Spawner_Skeleton_Frost_Archmage.name	Skeleton Frost Archmage	Arcimago scheletro del gelo	Frost-Skelett-Erzmagier	Archimago esqueleto de escarcha	Archimage squelette de givre	Arquimago esqueleto de gelo	Ледяной скелет-архимаг	Buz iskelet başbüyücü
items.MSE.Egg_Spawner_Skeleton_Frost_Fighter.name	Skeleton Frost Fighter	Combattente scheletro del gelo	Frost-Skelett-Kämpfer	Luchador esqueleto de escarcha	Combattant squelette de givre	Lutador esqueleto de gelo	Ледяной скелет-боец	Buz iskelet savaşçı
items.MSE.Egg_Spawner_Skeleton_Frost_Knight.name	Skeleton Frost Knight	Cavaliere scheletro del gelo	Frost-Skelett-Ritter	Caballero esqueleto de escarcha	Chevalier squelette de givre	Cavaleiro esqueleto de gelo	Ледяной скелет-рыцарь	Buz iskelet şövalye
items.MSE.Egg_Spawner_Skeleton_Frost_Mage.name	Skeleton Frost Mage	Mago scheletro del gelo	Frost-Skelett-Magier	Mago esqueleto de escarcha	Mage squelette de givre	Mago esqueleto de gelo	Ледяной скелет-маг	Buz iskelet büyücü
items.MSE.Egg_Spawner_Skeleton_Frost_Ranger.name	Skeleton Frost Ranger	Ranger scheletro del gelo	Frost-Skelett-Waldläufer	Explorador esqueleto de escarcha	Rôdeur squelette de givre	Patrulheiro esqueleto de gelo	Ледяной скелет-следопыт	Buz iskelet korucu
items.MSE.Egg_Spawner_Skeleton_Frost_Scout.name	Skeleton Frost Scout	Esploratore scheletro del gelo	Frost-Skelett-Späher	Explorador esqueleto de escarcha	Éclaireur squelette de givre	Batedor esqueleto de gelo	Ледяной скелет-разведчик	Buz iskelet gözcü
items.MSE.Egg_Spawner_Skeleton_Frost_Soldier.name	Skeleton Frost Soldier	Soldato scheletro del gelo	Frost-Skelett-Soldat	Soldado esqueleto de escarcha	Soldat squelette de givre	Soldado esqueleto de gelo	Ледяной скелет-солдат	Buz iskelet asker
