key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Tang_Blue.name	Tang Blue	Pesce chirurgo blu	Blauer Doktorfisch	Pez cirujano azul	Poisson-chirurgien bleu	Cirurgião azul	Синяя рыба-хирург	Mavi cerrah balığı
items.MSE.Egg_Spawner_Tang_Chevron.name	Tang Chevron	Pesce chirurgo chevron	Chevron-Doktorfisch	Pez cirujano chevrón	Poisson-chirurgien chevron	Cirurgião chevron	Рыба-хирург шеврон	Şevron cerrah balığı
items.MSE.Egg_Spawner_Tang_Lemon_Peel.name	Tang Lemon Peel	Pesce chirurgo buccia di limone	Zitronen-Doktorfisch	Pez cirujano piel de limón	Poisson-chirurgien citron	Cirurgião casca-de-limão	Лимонная рыба-хирург	Limon kabuğu cerrah balığı
items.MSE.Egg_Spawner_Tang_Sailfin.name	Tang Sailfin	Pesce chirurgo pinna a vela	Segelflossen-Doktorfisch	Pez cirujano vela	Poisson-chirurgien à voile	Cirurgião de vela	Парусная рыба-хирург	Yelken yüzgeçli cerrah balığı
items.MSE.Egg_Spawner_Temple_Mithril_Guard.name	Temple Mithril Guard	Guardia del tempio di mithril	Mithril-Tempelwache	Guardia del templo de mitril	Garde du temple de mithril	Guarda do templo de mithril	Страж митрилового храма	Mitril tapınak muhafızı
items.MSE.Egg_Spawner_Tetrabird.name	Tetrabird	Tetravolatile	Tetravogel	Tetraave	Tétraoiseau	Tetrave	Тетраптица	Tetrakuş
items.MSE.Egg_Spawner_Tiger_Sabertooth.name	Tiger Sabertooth	Tigre dai denti a sciabola	Säbelzahntiger	Tigre dientes de sable	Tigre à dents de sabre	Tigre-dentes-de-sabre	Саблезубый тигр	Kılıç dişli kaplan
items.MSE.Egg_Spawner_Toad_Rhino.name	Toad Rhino	Rospo rinoceronte	Nashornkröte	Sapo rinoceronte	Crapaud rhinocéros	Sapo rinoceronte	Жаба-носорог	Gergedan kurbağası
items.MSE.Egg_Spawner_Toad_Rhino_Magma.name	Toad Rhino Magma	Rospo rinoceronte di magma	Magma-Nashornkröte	Sapo rinoceronte de magma	Crapaud rhinocéros de magma	Sapo rinoceronte de magma	Магмовая жаба-носорог	Magma gergedan kurbağası
items.MSE.Egg_Spawner_Tortoise.name	Tortoise	Tartaruga terrestre	Landschildkröte	Tortuga terrestre	Tortue terrestre	Jabuti	Черепаха	Kara kaplumbağası
items.MSE.Egg_Spawner_Trillodon.name	Trillodon	Trillodon	Trillodon	Trillodon	Trillodon	Trillodon	Триллодон	Trillodon
items.MSE.Egg_Spawner_Trilobite.name	Trilobite	Trilobite	Trilobit	Trilobite	Trilobite	Trilobita	Трилобит	Trilobit
items.MSE.Egg_Spawner_Trilobite_Black.name	Trilobite Black	Trilobite nero	Schwarzer Trilobit	Trilobite negro	Trilobite noir	Trilobita preto	Черный трилобит	Siyah trilobit
items.MSE.Egg_Spawner_Trork_Brawler.name	Trork Brawler	Rissaiolo Trork	Trork-Raufbold	Pendenciero Trork	Bagarreur Trork	Brigão Trork	Трок-забияка	Trork Kavgacı
items.MSE.Egg_Spawner_Trork_Chieftain.name	Trork Chieftain	Capotribù Trork	Trork-Häuptling	Caudillo Trork	Chef Trork	Chefe Trork	Трок-вождь	Trork Reis
items.MSE.Egg_Spawner_Trork_Doctor_Witch.name	Trork Doctor Witch	Stregone guaritore Trork	Trork-Hexendoktor	Médico brujo Trork	Sorcier guérisseur Trork	Médico-bruxo Trork	Трок-шаман-лекарь	Trork Cadı Doktoru
items.MSE.Egg_Spawner_Trork_Guard.name	Trork Guard	Guardia Trork	Trork-Wache	Guardia Trork	Garde Trork	Guarda Trork	Трок-страж	Trork Muhafızı
items.MSE.Egg_Spawner_Trork_Hunter.name	Trork Hunter	Cacciatore Trork	Trork-Jäger	Cazador Trork	Chasseur Trork	Caçador Trork	Трок-охотник	Trork Avcısı
