key	en-US	it-IT	de-DE	es-ES	fr-FR	pt-BR	ru-RU	tr-TR
items.MSE.Egg_Spawner_Vulture.name	Vulture	Avvoltoio	Geier	Buitre	Vautour	Abutre	Стервятник	Akbaba
items.MSE.Egg_Spawner_Warthog.name	Warthog	Facocero	Warzenschwein	Facóquero	Phacochère	Facóquero	Бородавочник	Yaban domuzu
items.MSE.Egg_Spawner_Warthog_Piglet.name	Warthog Piglet	Cucciolo di facocero	Warzenschweinferkel	Cría de facóquero	Petit phacochère	Filhote de facóquero	Детеныш бородавочника	Yaban domuzu yavrusu
items.MSE.Egg_Spawner_Werewolf.name	Werewolf	Licantropo	Werwolf	Hombre lobo	Loup-garou	Lobisomem	Оборотень	Kurt adam
items.MSE.Egg_Spawner_Whale_Humpback.name	Whale Humpback	Balena megattera	Buckelwal	Ballena jorobada	Baleine à bosse	Baleia-jubarte	Горбатый кит	Kambur balina
items.MSE.Egg_Spawner_Wolf_Black.name	Wolf Black	Lupo nero	Schwarzer Wolf	Lobo negro	Loup noir	Lobo preto	Черный волк	Siyah kurt
items.MSE.Egg_Spawner_Wolf_Outlander_Priest.name	Wolf Outlander Priest	Lupo sacerdote forestiero	Wolf-Außenseiter-Priester	Lobo sacerdote forastero	Loup prêtre étranger	Lobo sacerdote forasteiro	Волк-жрец-чужеземец	Yabancı rahip kurt
items.MSE.Egg_Spawner_Wolf_Outlander_Sorcerer.name	Wolf Outlander Sorcerer	Lupo stregone forestiero	Wolf-Außenseiter-Zauberer	Lobo hechicero forastero	Loup sorcier étranger	Lobo feiticeiro forasteiro	Волк-колдун-чужеземец	Yabancı büyücü kurt
items.MSE.Egg_Spawner_Wolf_Trork_Hunter.name	Wolf Trork Hunter	Lupo cacciatore Trork	Wolf-Trork-Jäger	Lobo cazador Trork	Loup chasseur Trork	Lobo caçador Trork	Волк Трок-охотник	Trork avcı kurdu
items.MSE.Egg_Spawner_Wolf_Trork_Shaman.name	Wolf Trork Shaman	Lupo sciamano Trork	Wolf-Trork-Schamane	Lobo chamán Trork	Loup chaman Trork	Lobo xamã Trork	Волк Трок-шаман	Trork şaman kurdu
items.MSE.Egg_Spawner_Wolf_White.name	Wolf White	Lupo bianco	Weißer Wolf	Lobo blanco	Loup blanc	Lobo branco	Белый волк	Beyaz kurt
items.MSE.Egg_Spawner_Woodpecker.name	Woodpecker	Picchio	Specht	Pájaro carpintero	Pic	Pica-pau	Дятел	Ağaçkakan
items.MSE.Egg_Spawner_Wraith.name	Wraith	Spettro	Wraith	Aparición	Spectre	Aparição	Призрак	Hayalet
items.MSE.Egg_Spawner_Wraith_Lantern.name	Wraith Lantern	Spettro della lanterna	Laternen-Wraith	Aparición de linterna	Spectre à lanterne	Aparição da lanterna	Призрак с фонарем	Fenerli hayalet
items.MSE.Egg_Spawner_Yeti.name	Yeti	Yeti	Yeti	Yeti	Yéti	Yeti	Йети	Yeti
items.MSE.Egg_Spawner_Zombie.name	Zombie	Zombie	Zombie	Zombi	Zombie	Zumbi	Зомби	Zombi
items.MSE.Egg_Spawner_Zombie_Aberrant.name	Zombie Aberrant	Zombie aberrante	Aberranter Zombie	Zombi aberrante	Zombie aberrant	Zumbi aberrante	Аберрантный зомби	Sapkın zombi
items.MSE.Egg_Spawner_Zombie_Aberrant_Big.name	Zombie Aberrant Big	Zombie aberrante grande	Großer aberranter Zombie	Zombi aberrante grande	Grand zombie aberrant	Zumbi aberrante grande	Большой аберрантный зомби	Büyük sapkın zombi
items.MSE.Egg_Spawner_Zombie_Aberrant_Small.name	Zombie Aberrant Small	Zombie aberrante piccolo	Kleiner aberranter Zombie	Zombi aberrante pequeño	Petit zombie aberrant	Zumbi aberrante pequeno	Малый аберрантный зомби	Küçük sapkın zombi
items.MSE.Egg_Spawner_Zombie_Burnt.name	Zombie Burnt	Zombie bruciato	Verbrannter Zombie	Zombi quemado	Zombie brûlé	Zumbi queimado	Обгоревший зомби	Yanmış zombi
items.MSE.Egg_Spawner_Zombie_Frost.name	Zombie Frost	Zombie del gelo	Frostzombie	Zombi de escarcha	Zombie de givre	Zumbi de gelo	Ледяной зомби	Buz zombi
items.MSE.Egg_Spawner_Zombie_Sand.name	Zombie Sand	Zombie della sabbia	Sandzombie	Zombi de arena	Zombie de sable	Zumbi de areia	Песчаный зомби	Kum zombi
